Province,Invalid,Valid,Pezeshkian,Pouermohamadi,Jalili,Qalibaf
East Azerbaijan,26237,1375871,1067087,7033,244369,57382
West Azerbaijan,22530,1016820,806435,4577,146436,59372
Ardabil,10024,494578,382647,2676,72878,36377
Isfahan,77715,1453032,428098,16524,868431,139979
Alborz,27774,674263,300040,6868,260197,107158
Ilam,10693,197105,119843,1704,44706,30852
Bushehr,19522,354823,144138,2618,167217,40850
Tehran,134375,3223458,1348685,35582,1165518,673673
Chaharmahal and Bakhtiari,9516,282274,123046,2464,118523,38241
South Khorasan,12118,379274,102354,2319,225825,48776
Razavi Khorasan,90784,2320795,655727,18367,1214340,432361
North Khorasan,13507,306564,115697,2762,115672,72433
Khuzestan,61359,1146044,433699,12529,524084,175732
Zanjan,13273,379204,195165,3151,132409,48479
Semnan,14463,247429,73287,2302,137081,34759
Sistan and Baluchestan,25700,735358,443226,4368,199976,87788
Fars,55607,1310381,532947,10292,634294,132848
Qazvin,15499,378901,156853,3385,166852,51811
Qom,17123,470726,106148,6221,290622,67735
Kurdistan,24442,277750,192743,2693,45110,37204
Kerman,38822,1031464,329470,8513,477589,215892
Kermanshah,26955,488427,294139,4608,113287,76393
Kohgiluyeh and Boyer-Ahmad,6719,282218,123240,1518,102112,55348
Golestan,22568,567473,275366,5023,205981,81103
Gilan,26576,630365,317248,6759,216339,90019
Lorestan,19980,531593,234721,4395,191510,100967
Mazandaran,46997,996573,406485,9629,448308,132151
Markazi,21434,435640,136282,4354,233645,61359
Hormozgan,23238,523701,206013,4051,229602,84035
Hamedan,24638,548204,199466,5283,266872,76583
Yazd,18004,418718,165696,3829,213513,35680
